,Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9,Exchange
359,IT,"Gartner, Inc.",119.31,10815623187.09,n/a,1993,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/it,,NYSE
360,GD,General Dynamics Corporation,204.17,60961667222.11,n/a,n/a,Capital Goods,Marine Transportation,http://www.nasdaq.com/symbol/gd,,NYSE
361,GE,General Electric Company,18.48,160260130800.0,n/a,n/a,Energy,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/ge,,NYSE
362,GIS,"General Mills, Inc.",56.34,32020189287.12,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/gis,,NYSE
363,GM,General Motors Company,43.81,63597988120.68,n/a,2010,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/gm,,NYSE
364,GPC,Genuine Parts Company,91.5,13415134884.0,n/a,n/a,Capital Goods,Automotive Aftermarket,http://www.nasdaq.com/symbol/gpc,,NYSE
365,GGP,GGP Inc.,23.4,22386980538.0,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ggp,,NYSE
366,GSK,GlaxoSmithKline PLC,35.47,87232820197.79,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/gsk,,NYSE
367,GPN,Global Payments Inc.,98.96,15748734971.76,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/gpn,,NYSE
368,GOL,Gol Linhas Aereas Inteligentes S.A.,9.05,23703699727.0,n/a,2004,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/gol,,NYSE
369,GG,Goldcorp Inc.,12.65,10969259799.3,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gg,,NYSE
370,GS,"Goldman Sachs Group, Inc. (The)",241.36,91041348971.44,n/a,1999,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/gs,,NYSE
371,BSMX,Grupo Financiero Santander Mexico S.A. B. de C.V.,8.3,11266410546.3,n/a,2012,Finance,Commercial Banks,http://www.nasdaq.com/symbol/bsmx,,NYSE
372,TV,Grupo Televisa S.A.,18.05,10644810068.5,n/a,1993,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/tv,,NYSE
373,HAL,Halliburton Company,41.3,36035939293.9,n/a,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/hal,,NYSE
374,HRS,Harris Corporation,143.22,17071902771.0,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/hrs,,NYSE
375,HIG,"Hartford Financial Services Group, Inc. (The)",57.65,20564832074.95,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/hig,,NYSE
376,HCA,"HCA Healthcare, Inc.",80.14,28373767350.0,n/a,2011,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/hca,,NYSE
377,HCP,"HCP, Inc.",26.9,12619017278.1,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/hcp,,NYSE
378,HDB,HDFC Bank Limited,97.85,83581699404.25,n/a,2001,Finance,Commercial Banks,http://www.nasdaq.com/symbol/hdb,,NYSE
379,HSY,Hershey Company (The),110.5,23281841258.0,n/a,n/a,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/hsy,,NYSE
380,HES,Hess Corporation,44.81,14238557815.44,n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/hes,,NYSE
381,HPE,Hewlett Packard Enterprise Company,13.97,22282150000.0,n/a,2015,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/hpe,,NYSE
382,HLT,Hilton Worldwide Holdings Inc.,76.56,24495481021.44,n/a,2016,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/hlt,,NYSE
383,HD,"Home Depot, Inc. (The)",177.25,206983442717.75,n/a,n/a,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/hd,,NYSE
384,HMC,"Honda Motor Company, Ltd.",33.2,59835665090.8,n/a,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/hmc,,NYSE
385,HON,Honeywell International Inc.,153.24,116741721734.52,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/hon,,NYSE
386,HRL,Hormel Foods Corporation,35.99,18996536774.04,n/a,n/a,Consumer Non-Durables,Meat/Poultry/Fish,http://www.nasdaq.com/symbol/hrl,,NYSE
387,HST,"Host Hotels & Resorts, Inc.",19.67,14557534736.64,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/hst,,NYSE
388,HPQ,HP Inc.,21.43,35793551170.53,n/a,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/hpq,,NYSE
389,HSBC,HSBC Holdings plc,49.79,199106030926.14,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/hsbc,,NYSE
390,HUM,Humana Inc.,250.13,35733595812.48,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/hum,,NYSE
391,HII,"Huntington Ingalls Industries, Inc.",239.68,10848217598.4,n/a,n/a,Capital Goods,Marine Transportation,http://www.nasdaq.com/symbol/hii,,NYSE
392,IBN,ICICI Bank Limited,9.7,31102225422.4,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/ibn,,NYSE
393,IEX,IDEX Corporation,132.5,10123244462.5,n/a,1989,Capital Goods,Fluid Controls,http://www.nasdaq.com/symbol/iex,,NYSE
394,ITW,Illinois Tool Works Inc.,165.88,56830319631.8,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/itw,,NYSE
395,INFY,Infosys Limited,15.5,35603395638.5,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/infy,,NYSE
396,ING,"ING Group, N.V.",18.22,70796213892.14,n/a,1997,Finance,Commercial Banks,http://www.nasdaq.com/symbol/ing,,NYSE
397,IR,Ingersoll-Rand plc (Ireland),86.07,21506127140.55,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/ir,,NYSE
398,INGR,Ingredion Incorporated,139.75,10043133750.0,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/ingr,,NYSE
399,ICE,Intercontinental Exchange Inc.,69.8,40834827084.8,n/a,2005,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ice,,NYSE
400,IHG,Intercontinental Hotels Group,58.76,10688777227.96,n/a,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/ihg,,NYSE
401,IFF,"Internationa Flavors & Fragrances, Inc.",154.56,12206709540.48,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/iff,,NYSE
402,IBM,International Business Machines Corporation,153.55,142155266091.9,n/a,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/ibm,,NYSE
403,IP,International Paper Company,55.52,22925774219.2,n/a,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/ip,,NYSE
404,IVZ,Invesco Plc,36.1,14695534933.0,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/ivz,,NYSE
405,IQV,"IQVIA Holdings, Inc.",101.31,21408169975.83,n/a,2013,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/iqv,,NYSE
406,IRM,Iron Mountain Incorporated,40.52,10816291048.88,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/irm,,NYSE
407,ITUB,Itau Unibanco Banco Holding SA,12.96,84356528971.68,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/itub,,NYSE
408,JPM,J P Morgan Chase & Co,103.73,359914634102.21,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/jpm,,NYSE
409,SJM,J.M. Smucker Company (The),117.66,13365888203.64,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/sjm,,NYSE
410,JNJ,Johnson & Johnson,139.81,375602368190.5,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/jnj,,NYSE
411,JCI,Johnson Controls International plc,38.09,35249819607.08,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/jci,,NYSE
412,JNPR,"Juniper Networks, Inc.",29.61,11101627051.83,n/a,1999,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/jnpr,,NYSE
413,KSU,Kansas City Southern,110.12,11402168484.52,n/a,n/a,Transportation,Railroads,http://www.nasdaq.com/symbol/ksu,,NYSE
414,KB,KB Financial Group Inc,54.83,21987019382.82,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/kb,,NYSE
415,K,Kellogg Company,66.8,23077568878.4,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/k,,NYSE
416,KEY,KeyCorp,19.01,20443347441.55,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/key,,NYSE
417,KMB,Kimberly-Clark Corporation,119.14,41908364126.3,n/a,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/kmb,,NYSE
418,KMI,"Kinder Morgan, Inc.",16.76,37429095260.24,n/a,2011,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/kmi,,NYSE
419,PHG,Koninklijke Philips N.V.,38.4,35975462400.0,n/a,n/a,Energy,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/phg,,NYSE
420,KEP,Korea Electric Power Corporation,17.62,22622814073.48,n/a,1994,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/kep,,NYSE
421,KR,Kroger Company (The),24.38,21686550626.5,n/a,n/a,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/kr,,NYSE
422,KYO,Kyocera Corporation,71.19,26177239874.52,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/kyo,,NYSE
423,LB,"L Brands, Inc.",52.53,14910454281.15,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/lb,,NYSE
424,LLL,"L3 Technologies, Inc.",196.45,15351025367.5,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/lll,,NYSE
425,LH,Laboratory Corporation of America Holdings,157.02,15984636000.0,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/lh,,NYSE
426,LVS,Las Vegas Sands Corp.,67.56,53404829475.6,n/a,2004,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/lvs,,NYSE
427,LEA,Lear Corporation,179.1,12100127101.2,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/lea,,NYSE
428,LEN,Lennar Corporation,62.18,14921055411.8,n/a,n/a,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/len,,NYSE
429,LNC,Lincoln National Corporation,76.55,16751392789.95,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/lnc,,NYSE
430,LYG,Lloyds Banking Group Plc,3.62,65087600000.0,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/lyg,,NYSE
431,LMT,Lockheed Martin Corporation,320.76,91972855897.56,n/a,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/lmt,,NYSE
432,L,Loews Corporation,50.33,16942645880.16,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/l,,NYSE
433,LOMA,Loma Negra Compania Industrial Argentina Sociedad ,22.09,13166225164.1,n/a,2017,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/loma,,NYSE
434,LOW,"Lowe&#39;s Companies, Inc.",83.3,69373254510.7,n/a,n/a,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/low,,NYSE
435,LYB,LyondellBasell Industries NV,105.01,41422274212.82,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/lyb,,NYSE
436,MTB,M&T Bank Corporation,169.11,25453653713.37,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mtb,,NYSE
437,MMP,Magellan Midstream Partners L.P.,64.71,14755469018.76,n/a,n/a,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/mmp,,NYSE
438,MGA,"Magna International, Inc.",55.21,19951110827.42,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/mga,,NYSE
439,MFC,Manulife Financial Corp,21.07,41693888682.6,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/mfc,,NYSE
440,MRO,Marathon Oil Corporation,14.75,12532536949.5,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mro,,NYSE
441,MPC,Marathon Petroleum Corporation,61.4,29988507238.0,n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/mpc,,NYSE
442,MKL,Markel Corporation,1103.74,15333046809.74,n/a,1986,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/mkl,,NYSE
443,MMC,"Marsh & McLennan Companies, Inc.",83.6,42665830653.6,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/mmc,,NYSE
444,MLM,"Martin Marietta Materials, Inc.",208.51,13106844979.01,n/a,1994,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/mlm,,NYSE
445,MAS,Masco Corporation,42.03,13221179222.76,n/a,n/a,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/mas,,NYSE
446,MA,Mastercard Incorporated,148.35,164502956235.0,n/a,2006,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ma,,NYSE
447,MKC,"McCormick & Company, Incorporated",102.12,13377553442.28,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/mkc,,NYSE
448,MCD,McDonald&#39;s Corporation,170.43,135864339762.84,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/mcd,,NYSE
449,MCK,McKesson Corporation,148.12,30879236867.08,n/a,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/mck,,NYSE
450,MDT,Medtronic plc,82.11,111143438134.68,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/mdt,,NYSE
451,MRK,"Merck & Company, Inc.",55.36,150824823185.6,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mrk,,NYSE
452,MET,"MetLife, Inc.",53.55,56350625962.05,n/a,2000,Finance,Life Insurance,http://www.nasdaq.com/symbol/met,,NYSE
453,MTD,"Mettler-Toledo International, Inc.",625.44,15998207314.56,n/a,1997,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/mtd,,NYSE
454,MGM,MGM Resorts International,33.65,19050551944.25,n/a,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/mgm,,NYSE
455,MFGP,Micro Focus Intl PLC,33.33,14506457809.14,n/a,2017,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mfgp,,NYSE
456,MAA,"Mid-America Apartment Communities, Inc.",102.25,11618362181.5,n/a,1994,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/maa,,NYSE
457,MTU,Mitsubishi UFJ Financial Group Inc,7.09,94229238920.25,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/mtu,,NYSE
458,MFG,"Mizuho Financial Group, Inc.",3.65,46286514787.2,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mfg,,NYSE
459,MBT,Mobile TeleSystems OJSC,10.49,10253126736.64,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/mbt,,NYSE
460,MHK,"Mohawk Industries, Inc.",279.1,20747785200.7,n/a,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/mhk,,NYSE
461,TAP,Molson Coors Brewing  Company,76.52,12455460741.0,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/tap,,NYSE
462,MON,Monsanto Company,117.71,51815938350.99,n/a,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/mon,,NYSE
463,MCO,Moody&#39;s Corporation,149.84,28634424000.0,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/mco,,NYSE
464,MS,Morgan Stanley,51.32,92781384942.52,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ms,,NYSE
465,MSI,"Motorola Solutions, Inc.",94.17,15255521354.34,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/msi,,NYSE
466,MPLX,MPLX LP,34.41,14007152071.2,n/a,2012,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/mplx,,NYSE
467,MSCI,MSCI Inc,127.73,11504493316.39,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/msci,,NYSE
468,NGG,"National Grid Transco, PLC",59.77,40531332694.06,n/a,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/ngg,,NYSE
469,NOV,"National Oilwell Varco, Inc.",32.61,12392850400.71,n/a,n/a,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/nov,,NYSE
470,EDU,"New Oriental Education & Technology Group, Inc.",85.0,13403432740.0,n/a,2006,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/edu,,NYSE
471,NWL,Newell Brands Inc.,30.51,14952951000.0,n/a,n/a,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/nwl,,NYSE
472,NEM,Newmont Mining Corporation,36.6,19520114802.0,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/nem,,NYSE
473,NEE,"NextEra Energy, Inc.",157.77,74214626354.37,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/nee,,NYSE
474,NLSN,Nielsen N.V.,36.32,12936021760.0,n/a,2011,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/nlsn,,NYSE
475,NKE,"Nike, Inc.",60.36,98478453762.72,n/a,n/a,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/nke,,NYSE
476,NBL,Noble Energy Inc.,25.91,12607994728.44,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/nbl,,NYSE
477,NOK,Nokia Corporation,5.02,29313696651.06,n/a,1994,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/nok,,NYSE
478,NMR,Nomura Holdings Inc ADR,5.83,20128187215.84,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/nmr,,NYSE
479,NSC,Norfolk Souther Corporation,136.41,39033553170.06,n/a,n/a,Transportation,Railroads,http://www.nasdaq.com/symbol/nsc,,NYSE
480,NOC,Northrop Grumman Corporation,306.69,53388141912.18,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/noc,,NYSE
481,NVS,Novartis AG,85.15,199497935000.0,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/nvs,,NYSE
482,NVO,Novo Nordisk A/S,51.32,125763968108.72,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/nvo,,NYSE
483,DCM,"NTT DOCOMO, Inc",25.7,95207848198.1,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/dcm,,NYSE
484,NUE,Nucor Corporation,57.36,18235700420.64,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/nue,,NYSE
485,NVR,"NVR, Inc.",3468.4,12971323487.2,n/a,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/nvr,,NYSE
486,OXY,Occidental Petroleum Corporation,69.9,53490649755.3,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/oxy,,NYSE
487,OMC,Omnicom Group Inc.,72.93,16812746966.73,n/a,n/a,Technology,Advertising,http://www.nasdaq.com/symbol/omc,,NYSE
488,OKE,"ONEOK, Inc.",50.43,19336712125.41,n/a,n/a,Public Utilities,Oil & Gas Production,http://www.nasdaq.com/symbol/oke,,NYSE
489,ORCL,Oracle Corporation,48.52,202497554742.28,n/a,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/orcl,,NYSE
490,ORAN,Orange,17.12,45517533647.04,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/oran,,NYSE
491,IX,Orix Corp Ads,85.83,21994778634.0,n/a,n/a,Finance,Diversified Financial Services,http://www.nasdaq.com/symbol/ix,,NYSE
492,PCG,Pacific Gas & Electric Co.,55.06,28324119698.36,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/pcg,,NYSE
